skill	Id	charclass	ClassReq	AttackRank	itemclass1	itemclass2	itemclass3	itemclass4	itemclass5	itemclass6	anim	monanim	seqnum	Durability	Shiver	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchMonsterNear	SelectDead	SearchOpenXY	TargetPet	TargetAlly	range	AttackNoMana	reqlevel	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	State1	State2	State3	SkillPage	SkillRow	SkillColumn	IconCel	leftskl	manashift	mana	lvlmana	Interrupt	InTown	Periodic	Passive	Param1	Param1 Description	Param2	Param2 Description	Param3	Param3 Description	Param4	Param4 Description	Param5	Param5 Description	Param6	Param6 Description	effect	leveleffect	InGame	Done	Open	Beta	What's left? - code	What's Left - art	ToHit	LevToHit	HitShift	SrcDam	MinDam	MaxDam	LevDam	EType	EMin	EMax	ELev	ELen	ELevLen
Thunder Storm	57	sorceress	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Nova	Chain Lightning	0	0	0	0	2	5	1	42	1	8	19	0	1	0	0	0	800	duration	200	additional duration/level	25	minimum repeat time	100	repeat time factor	0	min % repeat time	100	max % repeat time	"after 60 frames and every 60 thereafter, lightning bolt from sky hits random unfriendly target in radius"	"longer duration, bigger radius"	1	1	0	0	*Check	"proc lightning from sky, thunder sounds"	0	0	8	0	0	0	0	2	1	100	10	0	0
Energy Shield	58	sorceress	0	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Teleport	Chain Lightning	0	0	0	0	2	5	3	44	1	8	5	0	1	1	0	0	3600	duration	1200	additional duration/level	5	min % absorbtion	75	max % absorbtion	8	Mana Damage mult in Fourths	0	?	all non-physical damage (and a percent of physical) is applied to mana for duration of shield	"longer duration, more physical"	1	1	0	0	*Check	done	0	0	8	0	0	0	0	0	0	0	0	0	0
Blizzard	59	sorceress	0	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	1	0	0	none	0	24	0	0	0	0	Frost Nova	Glacial Spike	0	0	0	0	3	5	1	46	1	8	23	1	1	0	0	0	7	radius	0	?	4	Missile delay	0	Change duration in Missiles.xls	0	?	0	?	random spot in target area is hit by an ice shard from the sky every 2 frames	longer duration	1	1	0	0	*Check	"overlayC, darken act and wind noise"	0	0	8	0	4	4	1	4	16	24	4	50	0
Chilling Armor	60	sorceress	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Shiver Armor	0	0	0	0	0	3	5	3	48	1	8	17	0	1	1	0	0	45	% AC Bonus	5	% AC bonus per level	3600	duration	150	duration per level	0	?	0	?	"AC bonus, fires ice bolt at source of missile attacks except poison and firewall"	longer duration	1	1	0	0	*Check	?	0	0	8	0	0	0	0	4	4	6	1	100	0
Fire Mastery	61	sorceress	0	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	0	0	0	0	0	0	1	6	2	50	1	8	0	0	1	0	0	1	0	min % fire damage increase	120	max % fire damage increase	0	?	0	?	0	?	0	?	PASSIVE adds 10% damage/level to fire spells(tab)	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	1	0	0	0	0	0
Hydra	62	sorceress	0	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	sk1	0	0	1	0	4	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Enchant	0	0	0	0	0	1	6	3	52	1	8	21	2	1	0	0	0	300	duration	25	additional duration/level	0	?	0	?	0	?	0	?	"like guardian in D1, multi-headed beastie fires 75% firebolts (x3 damage), 25% fireballs"	longer duration	1	1	0	0	*Check	"overlayF, explosion creates: Hydra"	0	0	8	0	0	0	0	1	6	12	2	0	0
Lightning Mastery	63	sorceress	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	0	0	0	0	0	0	2	6	2	54	1	8	0	0	1	0	0	1	5	min % mana reduced	75	max % mana reduced	0	?	0	?	0	?	0	?	PASSIVE reduces mana cost of cold spells by 10% (of current)	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Frozen Orb	64	sorceress	0	8	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Blizzard	0	0	0	0	0	3	6	1	56	0	8	25	2	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	a slow moving pulsating orb that fires icebolts and explodes in a frost nova	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	4	32	35	6	200	25
Cold Mastery	65	sorceress	0	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	0	0	0	0	0	0	3	6	2	58	1	8	0	0	1	0	0	1	10	min % resist chance	100	max % resist chance	0	?	0	?	0	?	0	?	PASSIVE reduces target's chance to resist by 5%/level	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Amplify Damage	66	necromancer	0	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	8	4	0	1	0	0	0	3	radius	1	radius per level	200	duration	75	additional duration/level	100	% additional damage taken	0	?	CURSE double damage taken by affected creature	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Teeth	67	necromancer	0	1	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	7	6	1	1	0	0	0	2	number of missiles	1	additional missiles/level	0	?	0	?	0	?	0	?	shoots out randomly directed missiles (generally forward) like quill rat	more missiles	1	1	0	1	*Check	?	0	0	7	0	0	0	0	3	4	8	2	0	0
Bone Armor	68	necromancer	0	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	4	1	8	11	1	1	1	0	0	20	damage absorbed	10	additional absorbed/level	0	?	0	?	0	?	0	?	"creates 2 damage absorbing bone orbiters, each sucking up the first 6 points that come in"	extra orbiter	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Skeleton Mastery	69	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	Raise Skeleton	0	0	0	0	0	3	1	1	6	1	8	0	0	1	0	0	1	7	additional hit points/level	2	additional damage per level	0	?	0	?	0	?	0	?	PASSIVE boosts summoned necroskeletons and necromages (also add component look tabe)	oh so much	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Raise Skeleton	70	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	1	1	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	3	1	3	8	1	8	6	1	1	0	0	0	5	% chance of shield	0	?	0	?	0	?	0	?	0	?	Brings undead corpse back (CAST 1 per skill level)	more castable	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Dim Vision	71	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	6	0	0	0	0	0	0	0	0	0	0	1	2	1	10	1	8	9	0	1	0	0	0	4	radius	1	radius per level	175	duration	50	additional duration/level	0	?	0	?	"CURSE lower affected creature's vision radius to 5 + (monlevel - charlevel), minimum 3"	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Weaken	72	necromancer	0	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	cast	0	0	1	0	4	0	0	0	0	0	0	0	none	0	6	0	0	0	0	Amplify Damage	0	0	0	0	0	1	2	3	12	1	8	4	0	1	0	0	0	9	radius	1	radius per level	350	duration	60	additional duration/level	33	% damage target can do	0	?	CURSE target does 1/2 physical damage	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Poison Dagger	73	necromancer	0	4	xxx	xxx	xxx	xxx	xxx	xxx	attack	seq	0	0	1	0	0	1	1	0	0	0	0	0	h2h	1	6	0	0	0	0	0	0	0	0	0	0	2	2	1	14	0	6	12	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	added bonus to hit params ------>	better poison	1	1	0	1	*Check	?	15	10	0	2	0	0	0	5	18	40	3	100	25
Corpse Explosion	74	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	1	1	0	0	0	none	0	6	0	0	0	0	Teeth	0	0	0	0	0	2	2	2	16	1	8	15	1	1	0	0	0	60	% of base monster HP min damage	100	% of base monster HP max damage	4	radius	1	additional radius/level	0	?	0	?	targeted corpse explodes doing damage to all in radius and destroying remains	bigger radius	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Clay Golem	75	necromancer	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	sk1	0	0	1	0	4	0	0	0	0	0	0	0	none	0	6	0	0	0	0	0	0	0	0	0	0	3	2	2	18	1	8	15	3	1	0	0	0	35	% HP bonus per level	35	% Damage bonus per level	0	?	0	?	0	?	0	?	summons a golem to fight for caster (like hirable)	better golem	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Iron Maiden	76	necromancer	0	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Amplify Damage	0	0	0	0	0	1	3	2	20	1	8	5	0	1	0	0	0	7	radius	0	radius per level	300	duration	60	additional duration/level	200	% damage returned to accursed	25	% additional returned/level	CURSE creature takes 1/4 the damage it deals out (like reverse thorns) h2h and missiles	"longer duration, more damage"	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Terror	77	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Weaken	0	0	0	0	0	1	3	3	22	1	8	7	0	1	0	0	0	4	radius	0	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level	CURSE target runs away in fear	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Bone Wall	78	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Bone Armor	0	0	0	0	0	2	3	3	24	1	8	17	0	1	0	0	0	25	% additional HP per level	1200	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"	0	?	0	?	"creates bone wall (like fire wall), that is completely destroyed when any segment takes full damage"	greater length and more HP	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Golem Mastery	79	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Clay Golem	0	0	0	0	0	3	3	1	26	1	8	0	0	1	0	0	1	20	% HP bonus per level	0	?	0	min velocity increase	40	max velocity increase	0	?	0	?	Enhances golem's speed and hitpoints	more	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Raise Skeletal Mage	80	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	1	1	0	0	0	none	0	12	0	0	0	0	Raise Skeleton	0	0	0	0	0	3	3	3	28	1	8	8	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	<---I took out the HP and AC params. Make sure they cast a higher level spell per level	more castable	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Confuse	81	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Dim Vision	0	0	0	0	0	1	4	1	30	1	8	13	0	1	0	0	0	6	radius	1	radius per level	250	duration	50	additional duration/level	0	?	0	?	CURSE monster chooses random target (friendly or not)	longer duration	1	0	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Life Tap	82	necromancer	0	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Iron Maiden	0	0	0	0	0	1	4	2	32	1	8	9	0	1	0	0	0	4	radius	1	radius per level	400	duration	60	additional duration/level	50	% damage healed	0	% additional heal/level	CURSE target returns to attacker 10% damage it takes (heals attacker)	"longer duration, more returned"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Poison Explosion	83	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	1	1	0	0	0	none	0	18	0	0	0	0	Poison Dagger	Corpse Explosion	0	0	0	0	2	4	1	34	1	8	8	0	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Corpse Explosion with poison	+1 range	1	1	0	0	*Check	?	0	0	4	0	0	0	0	5	4	8	0	100	20
Bone Spear	84	necromancer	0	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Corpse Explosion	0	0	0	0	0	2	4	2	36	0	6	28	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Fire bone missile	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	3	16	24	8	0	0
BloodGolem	85	necromancer	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Clay Golem	0	0	0	0	0	3	4	2	38	1	8	25	4	1	0	0	0	30	min % life stolen	40	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	10	% damage on golem xfered to caster	25	% caster healing xfered to golem	"summons a golem from target corpse, it steals 5% life from targets"	better golem	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Attract	86	necromancer	0	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	1	0	0	0	0	none	0	24	0	0	0	0	Confuse	0	0	0	0	0	1	5	1	40	1	8	17	0	1	0	0	0	9	radius	0	radius per level	300	duration	90	additional duration/level	0	?	0	?	CURSE single target (not area) becomes all monster's (within radius) target of choice	"longer duration, bigger radius"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Decrepify	87	necromancer	0	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Terror	0	0	0	0	0	1	5	3	42	1	8	11	0	1	0	0	0	4	radius	1	radius per level	50	duration	5	additional duration/level	-50	"% slowed, -dam, -dam resist"	0	?	CURSE movement is slowed 50% and no run	longer duration	1	1	0	0	Mon in state can't run.	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Bone Prison	88	necromancer	0	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	1	0	0	0	0	none	0	24	0	0	0	0	Bone Wall	Bone Spear	0	0	0	0	2	5	3	44	1	8	27	-2	1	0	0	0	25	% additional HP per level	1200	MAX duration	0	?	0	?	0	?	0	?	creates bone wall in radius around target	"more HP, less mana"	1	1	0	0	*Check	art	0	0	8	0	0	0	0	0	0	0	0	0	0
Summon Resist	89	necromancer	0	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Golem Mastery	0	0	0	0	0	3	5	1	46	1	8	44	-3	1	0	0	1	20	min % resist	75	max % resist	0	?	0	?	0	?	0	?	"Summoned monsters resist cold, lightning, fire and poison"	more resistance	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
IronGolem	90	necromancer	0	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	1	0	0	0	0	none	0	24	0	0	0	0	BloodGolem	0	0	0	0	0	3	5	2	48	1	8	35	0	1	0	0	0	150	% thorns damage back (level 2)	15	% thorns damage back per level	20	% damage bounced back vs player	2	% additional bounce back/level vs player	0	?	0	?	"summons a golem from a target item, acts as if it has that item equipped"	better golem	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Lower Resist	91	necromancer	0	8	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Life Tap	Decrepify	0	0	0	0	1	6	2	50	1	8	22	0	1	0	0	0	7	radius	1	radius per level	500	duration	50	additional duration/level	25	min % resist lower	70	max % resist lower	CURSE lowers target resistances	"longer duration, more reduction"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Poison Nova	92	necromancer	0	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Poison Explosion	0	0	0	0	0	2	6	1	52	1	8	25	0	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Nova with poison	like nova?	1	1	0	0	*Check	?	0	0	4	0	0	0	0	5	4	6	0	200	20
Bone Spirit	93	necromancer	0	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	Bone Spear	0	0	0	0	0	2	6	2	54	0	7	24	1	1	0	0	0	15	Search range	0	?	0	?	0	?	0	?	0	?	Fire a homing bone missile	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	3	20	30	16	0	0
FireGolem	94	necromancer	0	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	0	0	0	0	0	none	0	30	0	0	0	0	IronGolem	0	0	0	0	0	3	6	2	56	1	8	50	10	1	0	0	0	25	min % fire absorbtion	100	max % fire absorbtion	0	% damage increase	25	% damage increase per level	8	Holy Fire Aura level	1	Plus Holy Fire Aura level	"summons a golem that takes negative fire damage (is healed), has fire hit"	better golem	1	0	0	0	AI	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Revive	95	necromancer	0	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	4	0	0	1	1	0	0	0	none	0	30	0	0	0	0	Raise Skeletal Mage	IronGolem	0	0	0	0	3	6	3	58	1	8	45	-3	1	0	0	0	200	additional hit points	20	additional hit points / level	4500	Duration	0	additional duration/level	20	Velocity bonus for revived	0	?	"revives target corpse as the monster it was (w/grey palette and undead), to fight for caster"	"less mana, additional HP"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	0	0	0	0
Sacrifice	96	paladin	1	7	!bw	xxx	xxx	xxx	xxx	xxx	attack	seq	2	1	1	1	0	1	1	0	0	0	0	0	h2h	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	8	0	0	1	0	0	0	180	Percent damage	12	percent damage per level	8	percent damage to self	0	?	0	?	0	?	<----- Make sure it works for any melee attack	+20% damage	1	1	0	1	*Check	seq	20	5	8	0	0	0	0	0	0	0	0	0	0
Smite	97	paladin	0	9	*sd	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	1	1	0	1	1	0	0	0	0	0	h2h	1	1	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	8	2	0	0	0	0	0	15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level	0	?	0	?	"Attack with shield (dmg from items.xls), knock back, stuns for 12 frames"	adds 1 damage and 3 frame stun	1	1	0	1	*Check	seq	0	0	8	0	0	0	0	0	0	0	0	0	0
Might	98	paladin	0	9	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	4	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	40	% additional damage	10	% additional damage/level	0	?	0	?	aura adds 10% damage - PARTY - also add a flat +1 min/max damage	additional radius/effect	1	1	0	1	*Check	overlayH	0	0	8	0	0	0	0	0	0	0	0	0	0
Prayer	99	paladin	0	7	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	6	1	4	16	3	1	1	1	0	11	radius	2	additional radius per level	2	hp regen every 2 seconds	1	additional hp regen/level	0	?	0	?	"aura regens HP - PARTY changed to constant rate, not %"	additional radius/effect	1	1	0	1	*Check	"overlayH, overlayR"	0	0	8	0	0	0	0	0	0	0	0	0	0
Resist Fire	100	paladin	0	8	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	0	0	0	0	0	0	3	1	3	8	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	50	min % resist	80	max % resist	0	?	0	?	aura - PARTY (maybe we should make a curve that approaches 90%)	additional radius/effect	1	1	0	1	*Check	"overlayA, auraR"	0	0	8	0	0	0	0	0	0	0	0	0	0
Holy Bolt	101	paladin	0	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	1	1	none	0	6	0	0	0	0	0	0	0	0	0	0	1	2	2	10	0	6	16	1	1	0	0	0	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level	0	?	0	?	bolt hits undead only for 4-8 damage	+2 damage	1	1	0	1	*Check	"overlayU, Holy Boly missile"	0	0	8	0	0	0	0	3	8	16	6	0	0
Holy Fire	102	paladin	0	0	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0	Might	0	0	0	0	0	2	2	2	12	1	8	0	0	1	1	1	0	6	radius	1	additional radius per level	0	?	0	?	0	?	0	?	aura - every 2 second a pulse of fire hits against enemies in range	additional radius/effect	1	1	0	1	*Check	overlayH	0	0	6	0	0	0	0	1	4	12	3	0	0
Thorns	103	paladin	0	9	*sd	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0	0	0	0	0	0	0	2	2	3	14	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	250	% damage bounced back	40	% additional bounce back/level	30	% damage bounced back vs player	5	% additional bounce back/level vs player	aura physical damage by monsters is reflected back - PARTY	additional radius/effect	1	1	0	1	*Check	none	0	0	8	0	0	0	0	0	0	0	0	0	0
Defiance	104	paladin	0	4	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0	0	0	0	0	0	0	3	2	2	16	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	70	% additional AC	10	% additional AC/level	0	?	0	?	aura boosts AC - PARTY	additional radius/effect	1	1	0	1	*Check	"overlayA, auraD"	0	0	8	0	0	0	0	0	0	0	0	0	0
Resist Cold	105	paladin	0	6	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0	0	0	0	0	0	0	3	2	3	18	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	50	min % resist	80	max % resist	0	?	0	?	aura - PARTY (maybe we should make a curve that approaches 90%)	additional radius/effect	1	1	0	1	*Check	"overlayH, overlayR"	0	0	8	0	0	0	0	0	0	0	0	0	0
Zeal	106	paladin	0	2	!bw	xxx	xxx	xxx	xxx	xxx	attack	seq	0	0	1	0	0	1	1	0	0	0	0	0	h2h	1	12	0	0	0	0	Sacrifice	0	0	0	0	0	1	3	1	20	0	8	2	0	1	0	0	0	0	?	100	% frame rollback	0	% damage percent	0	damage % per level	2	Targets	1	Additional targets per level	each level allows the paladin to hit 1 extra adjacent monster (in the same amount of time)	1 extra target and + to hit	1	1	0	1	*Check	overlayF	10	5	8	2	0	0	0	0	0	0	0	0	0
Charge	107	paladin	1	2	!bw	xxx	xxx	xxx	xxx	xxx	seq	seq	4	1	1	1	0	1	1	0	0	0	0	0	none	1	12	0	0	0	0	Smite	0	0	0	0	0	1	3	3	22	0	8	9	0	0	0	0	0	150	percent increase in velocity	0	?	100	plus % damage	25	plus % dam per level	0	?	0	?	charge to target Rhino-demon style (become missile) / do STR/10 damage	+20% damage	1	1	0	1	*Check	seq	0	0	8	2	0	0	0	0	0	0	0	0	0
Blessed Aim	108	paladin	0	6	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Might	0	0	0	0	0	2	3	1	24	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	75	% attack# bonus	15	% additional attack# bonus	0	?	0	?	aura adds 10% to attack number - PARTY	+10% attack number	1	1	0	1	*Check		0	0	8	0	0	0	0	0	0	0	0	0	0
Cleansing	109	paladin	0	3	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Prayer	0	0	0	0	0	3	3	1	38	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	30	min % reduction	90	max % reduction	0	?	0	?	aura - poison and curse durations are reduced - PARTY	further reduced	1	1	0	1	*Check		0	0	8	0	0	0	0	0	0	0	0	0	0
Resist Lightning	110	paladin	0	6	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	0	0	0	0	0	0	3	3	3	28	1	8	0	0	1	1	1	0	11	radius	2	additional radius per level	50	min % resist	80	max % resist	0	?	0	?	aura - PARTY	additional radius/effect	1	1	0	1	*Check		0	0	8	0	0	0	0	0	0	0	0	0	0
Vengeance	111	paladin	0	3	!bw	xxx	xxx	xxx	xxx	xxx	attack	seq	0	0	1	1	0	1	1	0	0	0	0	0	h2h	1	18	0	0	0	0	Zeal	0	0	0	0	0	1	4	1	40	0	7	8	1	1	0	0	0	35	percent damage	5	percent damage per level	0	?	0	?	0	?	0	?	"adds 25% fire, 25% lightning and 25% cold damage to attack, +25 to hit"	+5% more	1	1	0	0	*Check	"overlayF, seq, multiple damage overlays"	20	0	8	2	0	0	0	4	0	0	0	30	15
Blessed Hammer	112	paladin	0	2	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	1	0	0	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Holy Bolt	0	0	0	0	0	1	4	2	32	0	6	20	1	1	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	"spiraling (unaimed) missile doesn't hit friendlies, double damage vs. undead"	+4 damage	1	1	0	0	*Check	"overlayU, hammer missile"	0	0	8	0	12	16	8	0	0	0	0	0	0
