Class	namco	Type	Descriptor	BaseId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	OverlayHeight	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight
BlackLocusts	BlackLocusts	Swarm	drains stamina	19	1	0	SW	0	0	2	2	2	2	6	6	0	17	42	67	0	5	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	4	8	0	60	8	10	600	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	166	14	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	70	0	0	0	0	0	80	0	0	0	0	0	80	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	96	0	8	16	85	136	17	8	10	32	0	0	0	0	0	0	35	74	229	896	28	34	137	0	0	0	0	0	0	93	194	393	4183	53	64	311	0	0	0	0	0	0	72	73	74	91	72	73	74	93	72	73	74	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PlagueBugs	PlagueBugs	Swarm	drains stamina	19	1	0	SW	0	0	2	2	2	2	7	7	0	21	46	71	0	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	4	8	0	80	10	12	800	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	166	14	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	80	0	0	0	0	0	90	0	0	0	0	0	90	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	96	0	9	19	106	199	21	10	12	40	0	0	0	0	0	0	39	81	250	1174	31	37	150	0	0	0	0	0	0	98	205	416	5281	56	68	329	0	0	0	0	0	0	73	74	76	92	73	74	76	93	73	74	76	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HellSwarm	HellSwarm	Swarm	drains stamina	19	1	0	SW	0	0	2	2	2	2	8	8	0	22	47	72	0	7	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	4	8	0	90	11	13	1600	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	166	14	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	90	0	0	40	0	0	90	0	0	70	0	0	90	0	0	70	0	0	2	0	0	0	0	0	1	0	0	0	0	96	0	10	20	111	219	22	11	13	42	0	0	0	0	0	0	39	82	256	1256	32	38	153	0	0	0	0	0	0	100	208	422	5598	57	69	334	0	0	0	0	0	0	74	75	76	92	74	75	76	93	74	75	76	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DungSoldier	DungSoldier	ScarabDemon		20	1	0	SC	0	0	3	3	3	2	4	4	0	14	39	64	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	hth	75		50		15		35		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	2	2	20	1	2	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	80	0	20	33	70	140	15	5	15	27	5	12	27	0	0	0	104	173	212	1004	18	54	127	18	43	127	0	0	0	282	467	375	4823	35	104	297	35	82	297	0	0	0	1	73	91	0	1	73	93	77	1	73	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SandWarrior	SandWarrior	ScarabDemon		20	1	0	SC	0	0	3	3	3	2	5	5	0	16	41	66	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	hth	80		60		12		45		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	2	2	20	1	3	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	80	0	23	38	80	170	17	6	17	31	6	13	31	0	0	0	109	181	223	1149	19	57	134	19	45	134	0	0	0	291	481	387	5419	36	107	306	36	84	306	0	0	0	1	74	91	0	1	74	93	77	1	74	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Scarab	Scarab	ScarabDemon		20	1	0	SC	0	0	3	3	3	2	5	5	0	17	42	67	0	3	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	hth	85		70		9		55		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	2	2	25	2	3	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	10	4	3	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	80	0	24	40	85	187	17	6	17	32	6	14	32	0	0	0	112	186	229	1230	19	58	137	19	46	137	0	0	0	295	489	393	5744	36	109	311	36	85	311	0	0	0	1	74	91	0	1	74	93	77	1	74	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SteelWeevil	SteelWeevil	ScarabDemon		20	1	0	SC	0	0	3	3	3	2	6	6	0	19	44	69	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	hth	88		75		7		65		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	2	2	25	2	4	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	80	0	27	44	95	226	19	6	19	36	6	15	36	0	0	0	117	194	240	1408	20	61	143	20	48	143	0	0	0	304	503	405	6454	37	112	320	37	88	320	0	0	0	1	75	91	0	1	75	93	78	1	75	93	78	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AlbinoRoach	AlbinoRoach	ScarabDemon		20	1	0	SC	0	0	3	3	3	2	6	6	0	24	49	74	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	hth	90		70		70		70		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	4	2	2	30	3	4	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	10	4	5	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	80	0	33	55	121	364	24	8	24	45	8	19	45	0	0	0	130	216	267	1975	23	68	160	23	53	160	0	0	0	326	539	434	8636	40	120	343	40	94	343	0	0	0	1	77	92	0	1	77	93	79	1	77	93	79	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DriedCorpse	DriedCorpse	Mummy		21	1	0	MM	0	0	2	2	3	2	3	3	0	13	38	63	0	2	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	5		60		65		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	4	5	0	25	5	10	400	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2	1	0	0	0	0	0	0	0	0	0	96	0	19	44	65	132	14	5	10	25	0	0	0	0	0	0	104	235	207	974	19	37	124	0	0	0	0	0	0	285	642	369	4721	36	72	292	0	0	0	0	0	0	1	73	91	0	1	73	93	77	1	73	93	77	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decayed	Decayed	Mummy		21	1	0	MM	0	0	2	2	3	2	3	3	0	15	40	65	0	3	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	10		50		60		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	4	5	0	25	6	11	500	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2	1	0	0	0	0	0	0	0	0	0	96	0	22	50	75	160	16	6	11	29	0	0	0	0	0	0	110	247	218	1115	20	39	130	0	0	0	0	0	0	294	662	381	5305	37	74	302	0	0	0	0	0	0	1	73	91	0	1	73	93	77	1	73	93	77	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Embalmed	Embalmed	Mummy		21	1	0	MM	0	0	2	2	3	2	3	3	0	18	43	68	0	3	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	15		30		50		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	4	5	0	30	6	13	600	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2	1	0	0	0	0	0	0	0	0	0	96	0	26	59	90	213	18	6	13	34	0	0	0	0	0	0	118	265	234	1366	21	42	140	0	0	0	0	0	0	308	693	399	6318	39	78	315	0	0	0	0	0	0	1	74	91	0	1	74	93	77	1	74	93	77	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PreservedDead	PreservedDead	Mummy		21	1	0	MM	0	0	2	2	3	2	3	3	0	23	48	73	0	4	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	20		40		55		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	4	5	0	30	8	16	700	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2	1	0	0	0	0	0	0	0	0	0	96	0	33	74	116	343	23	8	16	43	0	0	0	0	0	0	131	296	261	1915	23	47	156	0	0	0	0	0	0	330	743	428	8455	42	83	339	0	0	0	0	0	0	1	77	92	0	1	77	93	79	1	77	93	79	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cadaver	Cadaver	Mummy		21	1	0	MM	0	0	2	2	3	2	3	3	0	25	50	75	0	4	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	25		50		55		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	4	5	0	35	9	17	800	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2	1	0	0	0	0	0	0	0	0	0	96	0	36	80	126	415	25	9	17	47	0	0	0	0	0	0	137	308	272	2193	24	49	163	0	0	0	0	0	0	339	763	440	9500	43	86	348	0	0	0	0	0	0	1	78	92	0	1	78	93	79	1	78	93	79	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HollowOne	HollowOne	GreaterMummy	raises undead	22	1	0	GY	0	0	2	2	3	3	2	2	0	15	40	65	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	70		30		40		60		0		1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	4	5	0	15	12	16	1000	65535	63	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	181	5	1	182	5	1	157	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	0	0	50	2	0	1	0	1	0	0	0	1	0	0	112	0	62	76	75	252	16	12	16	29	0	0	39	0	0	0	308	378	218	1755	44	55	130	0	0	176	0	0	0	826	1014	381	8353	83	106	302	0	0	408	0	0	0	1	73	83	91	1	73	89	93	1	73	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guardian	Guardian	GreaterMummy	raises undead	22	1	0	GY	0	0	2	2	3	3	2	2	0	18	43	68	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	75		35		45		70		0		1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	4	5	0	20	14	18	1100	65535	64	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	181	5	1	182	5	1	157	5	1	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	0	0	50	2	0	1	0	1	0	0	0	1	0	0	112	0	73	90	90	336	18	14	18	34	0	0	46	0	0	0	331	406	234	2150	47	60	140	0	0	189	0	0	0	864	1060	399	9948	87	110	315	0	0	426	0	0	0	1	74	84	91	1	74	89	93	1	74	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unraveler	Unraveler	GreaterMummy	raises undead	22	1	0	GY	0	0	2	2	3	3	3	3	0	20	45	70	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	80		40		50		80		0		1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	4	5	0	25	16	20	1200	65535	65	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	181	5	1	182	5	1	157	5	1	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	50	0	0	0	50	0	75	0	0	0	50	2	0	1	0	1	0	0	0	1	0	0	112	0	81	99	101	406	20	16	20	38	0	0	51	0	0	0	346	425	245	2462	49	62	147	0	0	198	0	0	0	889	1091	410	11178	89	113	325	0	0	439	0	0	0	1	75	85	91	1	75	89	93	1	75	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Horadrim Ancient	Horadrim Ancient	GreaterMummy	raises undead	22	1	0	GY	0	0	2	2	3	3	4	4	0	23	48	73	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	85		45		55		85		0		1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	4	5	0	30	18	23	1500	65535	66	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	181	5	1	182	5	1	157	5	1	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	25	25	25	25	50	0	50	50	50	50	50	2	0	1	0	1	0	0	0	1	0	0	112	0	92	113	116	540	23	18	23	43	0	0	59	0	0	0	369	453	261	3016	52	66	156	0	0	211	0	0	0	927	1138	428	13313	93	118	339	0	0	458	0	0	0	1	77	87	92	1	77	89	93	1	77	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unused	CursedHorde	ChaosHorde		23	0	0	CH	0	0	2	2	3	2	3	3	0	13	38	63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	24	48	65	154	14	8	14	25	0	0	0	0	0	0	131	261	207	1129	30	53	124	0	0	0	0	0	0	357	713	369	5477	58	102	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unused	DamnedHorde	ChaosHorde		23	0	0	CH	0	0	2	2	3	2	3	3	0	16	41	66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	29	59	80	204	17	9	17	31	0	0	0	0	0	0	141	281	223	1384	32	57	134	0	0	0	0	0	0	374	747	387	6523	61	107	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unused	TwistedHorde	ChaosHorde		23	0	0	CH	0	0	2	2	3	2	3	3	0	21	46	71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	38	75	106	329	21	12	21	40	0	0	0	0	0	0	158	315	250	1941	36	63	150	0	0	0	0	0	0	402	803	416	8729	65	115	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unused	WickedHorde	ChaosHorde		23	0	0	CH	0	0	2	2	3	2	3	3	0	23	48	73	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	41	82	116	398	23	13	23	43	0	0	0	0	0	0	164	329	261	2222	38	66	156	0	0	0	0	0	0	413	826	428	9808	67	118	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unused	UnholyHorde	ChaosHorde		23	0	0	CH	0	0	2	2	3	2	3	3	0	28	53	78	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	50	99	141	641	28	16	27	53	0	0	0	0	0	0	181	362	289	3116	42	73	173	0	0	0	0	0	0	441	882	457	13125	72	126	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CarrionBird	CarrionBird	VultureDemon		24	1	0	VD	0	0	2	2	2	1	4	4	0	14	39	64	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	70	attack freq	0		0		0		40	approach	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	20	32	70	140	15	9	12	27	0	0	0	0	0	0	101	167	212	1000	32	43	127	0	0	0	0	0	0	274	451	375	4804	61	82	297	0	0	0	0	0	0	91	0	0	1	93	0	0	1	93	0	0	1	0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
UndeadScavenger	UndeadScavenger	VultureDemon		24	1	0	VD	0	0	2	2	2	1	4	4	0	15	40	65	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	80		0		0		0		50	freq	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	96	0	21	34	75	154	16	9	12	29	0	0	0	0	0	0	104	171	218	1070	33	44	130	0	0	0	0	0	0	278	458	381	5093	62	83	302	0	0	0	0	0	0	91	0	0	1	93	0	0	1	93	0	0	1	0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HellBuzzard	HellBuzzard	VultureDemon		24	1	0	VD	0	0	2	2	2	1	5	5	0	22	47	72	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	85		0		0		0		60		1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	30	49	111	300	22	13	17	42	0	0	0	0	0	0	122	200	256	1718	38	51	153	0	0	0	0	0	0	308	507	422	7657	69	92	334	0	0	0	0	0	0	92	0	0	1	93	0	0	1	93	0	0	1	0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
WingedNightmare	WingedNightmare	VultureDemon		24	1	0	VD	0	0	2	2	2	1	5	5	0	23	48	73	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	90		0		0		0		70		1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	31	51	116	330	23	14	18	43	0	0	0	0	0	0	124	204	261	1839	39	52	156	0	0	0	0	0	0	312	514	428	8117	70	93	339	0	0	0	0	0	0	92	0	0	1	93	0	0	1	93	0	0	1	0	1	xxx	xxx	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
